 pm25, pm10, o3, no2, so2, co,AQI
55,20,19,2,7,4,55
51,16,12,2,6,8,51
43,23,14,2,7,4,43
52,41,15,3,6,3,52
66,26,12,2,7,4,66
48,29,18,1,7,4,48
54, , , , , ,54
53,25,17,3,7,3,53
45,24,16,3,6,2,45
43,23,19,2,7,2,43
44,30,15,3,7,3,44
50,38,17,3,7,4,50
53,37,17,3,7,3,53
52,40,16,5,7,3,52
55,22,12,4,7,4,55
37,14,11,3,7,3,37
36, , , , , ,36
74, , , , , ,74
65,25,23,2,7,3,65
57,30,16,4,7,4,57
60,22,17,2,7,4,60
51,24,16,1,7,3,51
63,22,20,2,4,10,63
43,15,4,2,2,10,43
37,18,5,3,17,11,37
27,22,14,3,5,10,27
36,38,27,3,8,10,38
57,43,25,3,7,9,57
62,51,30,4,7,9,62
74,61,33,5,7,10,74
84,67,37,5,9,10,84
106,66,36,6,12,9,106
105,70,45,5,12,10,105
122,69,43,5,9,10,122
108,73,56,4,12,11,108
121,70,41,4,11,10,121
117,66,26,5,10,10,117
105,69,23,4,11,11,105
114,63,19,4,9,12,114
96,68,26,5,6,11,96
110,54,19,4,5,11,110
77,38,14,2,3,10,77
54,23,11,2,4,10,54
29,24,5,1,4,10,29
22,44,12,3,6,10,44
52,52,12,3,5,11,52
84,37,8,3,4,11,84
59,28,12,4,4,11,59
43,29,13,5,4,11,43
42,16,10,5,6,10,42
37,18,11,5,9,11,37
23,11,9,3,9,11,23
14,10,11,2,9,10,14
15,9,9,2,10,10,15
5,23,14,4,9,10,23
28,58,13,2,18,7,58
53,37,24,2,7,10,53
52,44,24,3,10,10,52
63,49,24,5,13,10,63
59,51,30,4,10,11,59
70,77,37,4,10,12,77
107,76,41,3,10,11,107
101,66,34,5,10,11,101
76,68,35,6,12,11,76
87,76,34,6,10,13,87
111,60,24,2,9,10,111
75,63,27,2,9,10,75
83, , , , , ,83
80,51,29,4,11,9,80
70,62,32,5,9,10,70
92,60,33,7,10,10,92
80,60,36,6,10,11,80
83,61,34,5,9,11,83
69,69,39,6,12,10,69
86,63,29,5,10,13,86
98,42,49,3,9,10,98
64,50,36,5,9,11,64
70,72,30,5,11,13,72
105,85,34,9,10,14,105
119,82,32,6,11,13,119
109,67,28,4,10,12,109
88,57,30,6,10,12,88
68,75,28,6,11,13,75
92,68,28,4,10,12,92
84,58,27,5,9,12,84
64,57,28,4,9,9,64
58,42,24,3,7,5,58
39,26,24,3,7,3,39
16,31,18,3,7,4,31
30,51,19,3,7,4,51
49,52,18,2,7,4,52
50,63,21,4,8,6,63
63,63,21,3,7,3,63
65,61,21,3,6,5,65
61,79,21,4,8,6,79
81,68,24,4,8,8,81
80,61,21,3,7,5,80
69,53,21,5,7,7,69
70,32,17,4,6,6,70
51,30,11,5,7,6,51
46,18,7,3,6,7,46
20,13,10,2,6,6,20
17,27,8,2,6,11,27
32,31,10,3,6,8,32
29,30,12,3,6,10,30
38,14,12,2,7,11,38
16,19,13,2,6,5,19
18,26,15,2,6,4,26
127, ,22,5,2,5,127
130, ,28,4,3,4,130
139,91,31,6,4,6,139
162,100,33,6,5,8,162
175,103,28,7,6,9,175
174,86,30,7,5,7,174
157,85,35,9,8,7,157
158,88,34,8,7,7,158
159,87,34,10,10,7,159
159,71,30,6,4,7,159
150,62,27,5,6,5,150
129,59,28,5,3,7,129
122,51,26,4,4,7,122
107,48,23,3,4,4,107
100,54,23,4,2,5,100
113,58,22,6,2,5,113
117,73,22,6,3,6,117
146,71,21,6,5,6,146
145,75,21,5,4,8,145
152,76,24,4,4,9,152
151,78,24,4,3,7,151
146,62,22,4,4,5,146
122,66,23,5,4,6,122
138,79,28,6,4,7,138
153,78,22,8,3,9,153
144,80,29,8,6,6,144
148,102,6,9,3,12,148
171,74,21,4, ,5,171
137,81,24,5, ,6,137
155,89,30,7,11,6,155
156,89,29,7,8,6,156
156,90,29,7,10,6,156
157,76,27,5,7,5,157
141,72,29,5,10,5,141
142,69,27,6,8,5,142
135,57,23,5,5,5,135
104,60,26,6,6,5,104
112,65,25,6,7,5,112
119,54,20,6,5,4,119
92,66,21,7,9,4,92
106,72,26,7,11,4,106
